theta,J,Nt,CR,z,papers_page,loss_mv,loss_scr,loss_bpe,loss_eme,std_mv,std_scr,std_bpe,std_eme
0.1,5,5,10,0.3,10,0.0540666666667,0.153066666667,0.0540666666667,0.0540666666667,0.0208852951991,0.0196297959462,0.0208852951991,0.0208852951991
0.2,5,5,10,0.3,10,0.0726,0.135166666667,0.0726,0.0726,0.0193435605133,0.0174682251213,0.0193435605133,0.0193435605133
0.3,5,5,10,0.3,10,0.0949,0.121366666667,0.0949,0.0949,0.0255164652724,0.0141879839614,0.0255164652724,0.0255164652724
0.4,5,5,10,0.3,10,0.117333333333,0.106,0.1071,0.105933333333,0.0432159949813,0.019387281054,0.0198651285758,0.019390604827
0.5,5,5,10,0.3,10,0.144133333333,0.0930333333333,0.0930333333333,0.0930333333333,0.030510908796,0.0163757612206,0.0163757612206,0.0163757612206
0.6,5,5,10,0.3,10,0.168166666667,0.0767,0.0767,0.0767,0.0354411092126,0.0136091880728,0.0136091880728,0.0136091880728
0.7,5,5,10,0.3,10,0.1997,0.0633,0.0633,0.0633,0.0511704016009,0.0197250264047,0.0197250264047,0.0197250264047
0.8,5,5,10,0.3,10,0.231566666667,0.0493,0.0493,0.0493,0.0563061176862,0.0101493842178,0.0101493842178,0.0101493842178
0.9,5,5,10,0.3,10,0.2364,0.0315333333333,0.0315333333333,0.0315333333333,0.0659022508467,0.0113863465997,0.0113863465997,0.0113863465997
0.1,10,5,10,0.3,10,0.0127,0.0106666666667,0.0106666666667,0.0106666666667,0.0112402550386,0.00408520365329,0.00408520365329,0.00408520365329
0.2,10,5,10,0.3,10,0.0152333333333,0.0084,0.0084,0.0084,0.01013799235,0.00508330601086,0.00508330601086,0.00508330601086
0.3,10,5,10,0.3,10,0.0360333333333,0.0105,0.0105,0.0105,0.0161997599434,0.00618465843843,0.00618465843843,0.00618465843843
0.4,10,5,10,0.3,10,0.0442333333333,0.0126,0.0126,0.0126,0.0252476841622,0.0083330666624,0.0083330666624,0.0083330666624
0.5,10,5,10,0.3,10,0.054,0.0115333333333,0.0115333333333,0.0115333333333,0.0234478143971,0.0111137552409,0.0111137552409,0.0111137552409
0.6,10,5,10,0.3,10,0.0634333333333,0.0134666666667,0.0134666666667,0.0134666666667,0.0263826752919,0.012666842104,0.012666842104,0.012666842104
0.7,10,5,10,0.3,10,0.0856666666667,0.0141666666667,0.0141666666667,0.0141666666667,0.0327854981492,0.0106679686705,0.0106679686705,0.0106679686705
0.8,10,5,10,0.3,10,0.0849333333333,0.0179666666667,0.0116666666667,0.0112,0.0357024119945,0.0139582313429,0.00634735290408,0.00607947366143
0.9,10,5,10,0.3,10,0.0868666666667,0.0137333333333,0.0058,0.0058,0.0305785691112,0.0125004888793,0.00373630833845,0.00373630833845
